id,date,message_type,message_content,media_path
664903,2025-02-02T17:30:59+00:00,text,Maybe something what's need at night 😋,
664902,2025-02-02T17:30:58+00:00,text,Push the rank.. To the top again,
664901,2025-02-02T17:30:40+00:00,sticker,[STICKER] BAADBQADhRAAAtLlEFVjm-H0SPxIbgI,media/sticker_664901.webp
664900,2025-02-02T17:30:38+00:00,text,Adjust plz completing soon,
664899,2025-02-02T17:30:36+00:00,sticker,[STICKER] CAADBQADGxQAAgGU6VTFlRo8DyxW0QI,media/sticker_664899.webp
664898,2025-02-02T17:30:36+00:00,sticker,[STICKER] BAADBQADZRAAAujomVe2WwknUWKgxQI,media/sticker_664898.webp
664897,2025-02-02T17:30:34+00:00,text,Together to the moon,
664896,2025-02-02T17:30:33+00:00,text,Yo yo....🤡,
664895,2025-02-02T17:30:31+00:00,text,I don’t even know,
664894,2025-02-02T17:30:16+00:00,text,Haha Sanjib is here 😹,
664893,2025-02-02T17:30:13+00:00,sticker,[STICKER] BAADBQADeBcAAkybCFXNrifQ_IZJlwI,media/sticker_664893.webp
664892,2025-02-02T17:30:10+00:00,text,Ummm...😵‍💫,
664891,2025-02-02T17:30:07+00:00,text,We are hard working ants,
664890,2025-02-02T17:30:01+00:00,text,What u want to eat bro,
664888,2025-02-02T17:29:56+00:00,text,Stay active,
664887,2025-02-02T17:29:54+00:00,text,"Lol.. even though I was told that, I got it like that😒",
664886,2025-02-02T17:29:54+00:00,text,What the 😁,
664885,2025-02-02T17:29:52+00:00,text,Fly high for Genesis,
664884,2025-02-02T17:29:45+00:00,text,Thanks,
664883,2025-02-02T17:29:44+00:00,text,Under construction,
664882,2025-02-02T17:29:39+00:00,text,Bye,
664881,2025-02-02T17:29:38+00:00,text,Ok,
664880,2025-02-02T17:29:37+00:00,text,Good luck mate,
664879,2025-02-02T17:29:34+00:00,text,Why's that?,
664878,2025-02-02T17:29:33+00:00,sticker,[STICKER] CAADBQAD3AcAAoMvaFYUd7yNmnK48QI,media/sticker_664878.webp
664877,2025-02-02T17:29:31+00:00,text,Genesis is the best,
664876,2025-02-02T17:29:29+00:00,sticker,[STICKER] CAADBQAD8QUAAoAzgVR14wcS901VogI,media/sticker_664876.webp
664875,2025-02-02T17:29:29+00:00,text,Hsc,
664874,2025-02-02T17:29:26+00:00,text,🫦🫦,
664873,2025-02-02T17:29:21+00:00,text,keep push together👬👫👭,
664872,2025-02-02T17:29:17+00:00,sticker,[STICKER] BAADBQADhRAAAtLlEFVjm-H0SPxIbgI,media/sticker_664872.webp
664871,2025-02-02T17:29:14+00:00,sticker,[STICKER] BAADBQADLQ0AAoHJMFV8laWbaOLe7gI,media/sticker_664871.webp
664870,2025-02-02T17:29:10+00:00,text,Before 12am we can't stop sending msg,
664869,2025-02-02T17:29:06+00:00,text,Ok budddy then byeee,
664868,2025-02-02T17:29:03+00:00,text,Work hard together,
664867,2025-02-02T17:29:02+00:00,text,Ssc or hsc(,
664866,2025-02-02T17:28:50+00:00,text,"Exam are coming, so I have to study",
664865,2025-02-02T17:28:49+00:00,text,Yes,
664864,2025-02-02T17:28:38+00:00,sticker,[STICKER] BAADBQADqxUAAne5EFVphIn652slQAI,media/sticker_664864.webp
664863,2025-02-02T17:28:35+00:00,sticker,[STICKER] CAADBQAD-gYAAqpP6FUPNqXCzpLx2QI,media/sticker_664863.webp
664862,2025-02-02T17:28:29+00:00,text,Your name should be in the top 50 members decided by the highest number of msgs sent,
